title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485044060425,False,False,10,8
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485044027657,False,False,10,8
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485043994889,False,False,10,8
Vintage Murano Glass Lamp 80s Memphis Style,Bottega Jacobs,deny,True,2024-10-02T13:56:18.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493545980169,False,False,2,1
Vintage Glass Jar 1970s,Bottega Jacobs,deny,True,2024-10-07T16:20:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517383160073,False,False,2,1
Memphis Style Vintage Murano Glass Table Lamp,Bottega Jacobs,deny,True,2024-10-02T13:57:57.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493553713417,False,False,2,1
"Original Drawing, Abstract Motif in Wooden Frame – Italy 1960s",Bottega Jacobs,deny,True,2024-10-02T13:57:32.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493552206089,False,False,2,1
Vintage Ceramic Wall Clock 1970s Italy,Bottega Jacobs,deny,True,2024-10-02T13:57:14.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493550567689,False,False,2,1
Vintage Ceramic Table Lamp with Silk Shade - Italy 70s,Bottega Jacobs,deny,True,2024-10-02T13:56:20.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493546078473,False,False,2,1
Vintage Murano Glass Chandelier by Toni Zuccheri for Mazzega,Bottega Jacobs,deny,True,2024-10-02T13:55:19.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493541884169,False,False,2,1
