title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,ConversionRate
Medium Vase in Mushroom,Verre d'Onge,deny,True,2024-09-23T09:32:42.000Z,{'custom': {'soldout': 'false'}},48447875678473,False,false,-1,-1,9,0,1,0,0.0
Small Vase in Caramel,Verre d'Onge,deny,True,2024-09-23T09:32:15.000Z,{'custom': {'soldout': 'false'}},48447874826505,False,false,-1,-1,12,0,1,0,0.0
Delicate Mouth Blown Bowl XL,Les Objets Amsterdam,deny,True,2024-08-08T08:38:48.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48252824355081,False,false,2,1,19,0,1,0,0.0
Carved Oak Low Back Chair | France | 1960s,Veter Vintage,deny,True,2024-07-30T08:58:56.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48220277178633,False,false,4,2,25,0,0,0,0.0
Art Deco Wrought Iron Wall Mirror Coat Rack | France | 1930s,Veter Vintage,deny,True,2024-07-30T08:58:13.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48220276130057,False,false,4,2,34,0,0,0,0.0
Hand-forged Metal Sculptural Candle Holder,Veter Vintage,deny,True,2024-07-30T08:58:06.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48220275998985,False,false,4,2,23,0,0,0,0.0
Carved Wooden Candle Holders and Bowl Set | Sweden | 1970s,Veter Vintage,deny,True,2024-07-30T08:57:53.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48220275409161,False,false,4,2,7,0,0,0,0.0
Carved Dark Oak Bench | France | 1960s,Veter Vintage,deny,True,2024-07-30T08:57:29.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48220274819337,False,false,4,2,21,0,0,0,0.0
Dewdrop® Vase,Vanderohe Curio,deny,True,2024-09-24T13:31:28.000Z,{'custom': {'soldout': 'false'}},48453818056969,False,false,-1,-1,10,0,0,0,0.0
Dewdrop® Vase,Vanderohe Curio,deny,True,2024-09-24T13:31:28.000Z,{'custom': {'soldout': 'false'}},48453818024201,False,false,-1,-1,10,0,0,0,0.0
Dewdrop® Vase,Vanderohe Curio,deny,True,2024-09-24T13:31:28.000Z,{'custom': {'soldout': 'false'}},48453817991433,False,false,-1,-1,10,0,0,0,0.0
Dewdrop® Vase,Vanderohe Curio,deny,True,2024-09-24T13:31:28.000Z,{'custom': {'soldout': 'false'}},48453817958665,False,false,-1,-1,10,0,0,0,0.0
Cocoon Cup,Vanderohe Curio,deny,True,2024-09-24T13:31:22.000Z,{'custom': {'soldout': 'false'}},48453817598217,False,false,-1,-1,15,0,0,0,0.0
Cocoon Cup,Vanderohe Curio,deny,True,2024-09-24T13:31:22.000Z,{'custom': {'soldout': 'false'}},48453817565449,False,false,-1,-1,15,0,0,0,0.0
Cocoon Cup,Vanderohe Curio,deny,True,2024-09-24T13:31:22.000Z,{'custom': {'soldout': 'false'}},48453817532681,False,false,-1,-1,15,0,0,0,0.0
Cocoon Cup,Vanderohe Curio,deny,True,2024-09-24T13:31:22.000Z,{'custom': {'soldout': 'false'}},48453817499913,False,false,-1,-1,15,0,0,0,0.0
Free Blown Glass Carafe,Vanderohe Curio,deny,True,2024-09-24T13:31:19.000Z,{'custom': {'soldout': 'false'}},48453817270537,False,false,-1,-1,8,0,0,0,0.0
Free Blown Glass Carafe,Vanderohe Curio,deny,True,2024-09-24T13:31:19.000Z,{'custom': {'soldout': 'false'}},48453817237769,False,false,-1,-1,8,0,0,0,0.0
Free Blown Glass Carafe,Vanderohe Curio,deny,True,2024-09-24T13:31:19.000Z,{'custom': {'soldout': 'false'}},48453817205001,False,false,-1,-1,8,0,0,0,0.0
Pebble Stack®,Vanderohe Curio,deny,True,2024-09-24T13:31:10.000Z,{'custom': {'soldout': 'false'}},48453816516873,False,false,-1,-1,15,0,0,0,0.0
Pebble Stack®,Vanderohe Curio,deny,True,2024-09-24T13:31:10.000Z,{'custom': {'soldout': 'false'}},48453816484105,False,false,-1,-1,15,0,0,0,0.0
Pebble Stack®,Vanderohe Curio,deny,True,2024-09-24T13:31:10.000Z,{'custom': {'soldout': 'false'}},48453816451337,False,false,-1,-1,15,0,0,0,0.0
Pebble Stack®,Vanderohe Curio,deny,True,2024-09-24T13:31:10.000Z,{'custom': {'soldout': 'false'}},48453816418569,False,false,-1,-1,15,0,0,0,0.0
Pebble Stack®,Vanderohe Curio,deny,True,2024-09-24T13:31:10.000Z,{'custom': {'soldout': 'false'}},48453816353033,False,false,-1,-1,15,0,0,0,0.0
Set of 3 Highballs,Vanderohe Curio,deny,True,2024-09-24T13:31:04.000Z,{'custom': {'soldout': 'false'}},48453814714633,False,false,-1,-1,8,0,0,0,0.0
Set of 2 Tumblers,Vanderohe Curio,deny,True,2024-09-24T13:31:04.000Z,{'custom': {'soldout': 'false'}},48453814681865,False,false,-1,-1,15,0,0,0,0.0
Set of 2 Tumblers,Vanderohe Curio,deny,True,2024-09-24T13:31:04.000Z,{'custom': {'soldout': 'false'}},48453814649097,False,false,-1,-1,15,0,0,0,0.0
Set of 2 Tumblers,Vanderohe Curio,deny,True,2024-09-24T13:31:04.000Z,{'custom': {'soldout': 'false'}},48453814616329,False,false,-1,-1,15,0,0,0,0.0
Set of 2 Tumblers,Vanderohe Curio,deny,True,2024-09-24T13:31:04.000Z,{'custom': {'soldout': 'false'}},48453814583561,False,false,-1,-1,15,0,0,0,0.0
Set of 2 Highballs,Vanderohe Curio,deny,True,2024-09-24T13:31:00.000Z,{'custom': {'soldout': 'false'}},48453814288649,False,false,-1,-1,13,0,0,0,0.0
Set of 2 Highballs,Vanderohe Curio,deny,True,2024-09-24T13:31:00.000Z,{'custom': {'soldout': 'false'}},48453814255881,False,false,-1,-1,13,0,0,0,0.0
Set of 2 Highballs,Vanderohe Curio,deny,True,2024-09-24T13:31:00.000Z,{'custom': {'soldout': 'false'}},48453814223113,False,false,-1,-1,13,0,0,0,0.0
Set of 2 Highballs,Vanderohe Curio,deny,True,2024-09-24T13:31:00.000Z,{'custom': {'soldout': 'false'}},48453814190345,False,false,-1,-1,13,0,0,0,0.0
Small Stem Vase,Vanderohe Curio,deny,True,2024-09-24T13:30:55.000Z,{'custom': {'soldout': 'false'}},48453813371145,False,false,-1,-1,10,0,0,0,0.0
Small Stem Vase,Vanderohe Curio,deny,True,2024-09-24T13:30:55.000Z,{'custom': {'soldout': 'false'}},48453813338377,False,false,-1,-1,10,0,0,0,0.0
Dish On Foot .2,Silje Lindrup,deny,True,2024-09-02T12:15:28.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48356982161673,False,false,2,1,51,0,2,0,0.0
Geometric Vase by Gustave Tiffoche,Figuresdesign,deny,True,2024-09-18T09:26:18.000Z,{'custom': {'soldout': 'false'}},48427788763401,False,false,-1,-1,48,0,1,0,0.0
Ceramic Bottle by Jacques Pouchain,Figuresdesign,deny,True,2024-09-18T09:25:21.000Z,{'custom': {'soldout': 'false'}},48427786633481,False,false,-1,-1,32,0,1,0,0.0
Ceramic Bottle by Jacques Pouchain,Figuresdesign,deny,True,2024-09-18T09:25:08.000Z,{'custom': {'soldout': 'false'}},48427786043657,False,false,-1,-1,32,0,1,0,0.0
Art-Deco Floor Lamp,Figuresdesign,deny,True,2024-09-18T09:24:19.000Z,{'custom': {'soldout': 'false'}},48427783717129,False,false,-1,-1,233,0,1,0,0.0
System Magazine Issue No. 13,Maison Plage,deny,True,2024-07-01T08:29:23.000Z,{'custom': {'soldout': 'false'}},48082873188617,False,false,-1,-1,7,0,1,0,0.0
Medium Vase in Smoke,Verre d'Onge,deny,True,2024-09-23T09:33:04.000Z,{'custom': {'soldout': 'false'}},48447876399369,False,false,-1,-1,15,0,0,0,0.0
Small Vase in Moon 2,Verre d'Onge,deny,True,2024-09-23T09:33:03.000Z,{'custom': {'soldout': 'false'}},48447876301065,False,false,-1,-1,23,0,0,0,0.0
Medium Vase in Moon,Verre d'Onge,deny,True,2024-09-23T09:32:58.000Z,{'custom': {'soldout': 'false'}},48447876202761,False,false,-1,-1,15,0,0,0,0.0
XLarge Vase in Feathered Taupe,Verre d'Onge,deny,True,2024-09-23T09:32:54.000Z,{'custom': {'soldout': 'false'}},48447876038921,False,false,-1,-1,51,0,0,0,0.0
XLarge Vase in Smoke,Verre d'Onge,deny,True,2024-09-23T09:32:50.000Z,{'custom': {'soldout': 'false'}},48447876006153,False,false,-1,-1,8,0,0,0,0.0
Small Vase in Stone,Verre d'Onge,deny,True,2024-09-23T09:32:44.000Z,{'custom': {'soldout': 'false'}},48447875744009,False,false,-1,-1,17,0,0,0,0.0
XLarge Vase in Ghost,Verre d'Onge,deny,True,2024-09-23T09:32:32.000Z,{'custom': {'soldout': 'false'}},48447875416329,False,false,-1,-1,10,0,0,0,0.0
XLarge Vase in Feathered Taupe,Verre d'Onge,deny,True,2024-09-23T09:32:28.000Z,{'custom': {'soldout': 'false'}},48447875285257,False,false,-1,-1,51,0,0,0,0.0
XXLarge Vase in Elephant,Verre d'Onge,deny,True,2024-09-23T09:32:27.000Z,{'custom': {'soldout': 'false'}},48447875219721,False,false,-1,-1,15,0,0,0,0.0
Small Vase in Moon,Verre d'Onge,deny,True,2024-09-23T09:32:16.000Z,{'custom': {'soldout': 'false'}},48447874957577,False,false,-1,-1,23,0,0,0,0.0
Medium Vase in Chocolate,Verre d'Onge,deny,True,2024-09-23T09:32:12.000Z,{'custom': {'soldout': 'false'}},48447874629897,False,false,-1,-1,24,0,0,0,0.0
Modernist Ceramic Vase,Les Objets Amsterdam,deny,True,2024-08-08T08:38:39.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48252824060169,False,false,2,1,5,0,0,0,0.0
Porcelain Candle Holder 1920's,Les Objets Amsterdam,deny,True,2024-08-08T08:38:38.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48252823961865,False,false,2,1,9,0,0,0,0.0
Krosno Vase,Les Objets Amsterdam,deny,True,2024-08-08T08:38:28.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48252823306505,False,false,2,1,15,0,0,0,0.0
Decorative Ball,Les Objets Amsterdam,deny,True,2024-08-08T08:38:26.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48252823240969,False,false,2,1,35,0,0,0,0.0
Set of Four Mouthblown Water Glass,Lucie Claudia Podrabska,deny,True,2024-09-18T09:22:24.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '6'}, 'mindeliverytime': {'mindeltime': '2'}}",48427777032457,False,false,6,2,86,0,3,0,0.0
"Dott Stool, Natural",TASE GALLERY,deny,True,2024-09-26T19:33:10.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '14'}, 'mindeliverytime': {'mindeltime': '12'}}",48464991781129,False,false,14,12,150,0,3,0,0.0
Modernist Candleholder,Figuresdesign,deny,True,2024-09-18T09:25:04.000Z,{'custom': {'soldout': 'false'}},48427785945353,False,false,-1,-1,22,0,0,0,0.0
"The Beginning Of Autumn - Acrylic, oil pastel, charcoal on canvas",Dovile Bernotaite,deny,True,2024-09-11T12:56:51.000Z,{'custom': {'soldout': 'false'}},48401687216393,False,false,-1,-1,198,0,1,0,0.0
Dish on Foot .1,Silje Lindrup,deny,True,2024-09-02T12:15:28.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48356982128905,False,false,2,1,18,0,0,0,0.0
"Ice Cube Lighter by Antonio Imperatore, Murano Glass",Malamar Studio,deny,True,2024-07-16T09:06:08.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '2'}}",48162343747849,False,false,3,2,65,0,5,0,0.0
French Tassel Spoon,Aesthete Label,deny,True,2024-08-12T08:38:50.000Z,{'custom': {'soldout': 'false'}},48270828470537,False,false,-1,-1,54,0,3,0,0.0
Triangular Studio Tray,Aesthete Label,deny,True,2024-08-12T08:37:59.000Z,{'custom': {'soldout': 'false'}},48270825652489,False,false,-1,-1,29,0,3,0,0.0
Vintage Latin American Folk Art Serving Spatula,OWO Ceramics,deny,True,2024-09-26T19:33:03.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989946121,False,false,2,1,12,0,0,0,0.0
Vintage Aluminum Candle Holders,Collect Cph,deny,True,2024-07-18T08:11:23.000Z,{'custom': {'soldout': 'false'}},48170969760009,False,false,-1,-1,25,0,1,0,0.0
"Something(s) in the air, 2024",Rebecca von Matérn,deny,True,2024-05-29T09:11:37.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45557276836105,False,false,2,1,375,0,8,0,0.0
"Literary - Acrylic, oil pastel. dry pastel, charcoal on canvas",Dovile Bernotaite,deny,True,2024-09-11T12:56:51.000Z,{'custom': {'soldout': 'false'}},48401687281929,False,false,-1,-1,49,0,0,0,0.0
"Dott Stool, Ebony",TASE GALLERY,deny,True,2024-09-26T19:33:10.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '14'}, 'mindeliverytime': {'mindeltime': '12'}}",48464991813897,False,false,14,12,82,0,1,0,0.0
Harald Notini Decanter 1930s,Collection apart,deny,True,2024-06-27T13:31:05.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48065783464201,False,false,2,1,19,0,0,0,0.0
"Ice cube lighter by Antonio Imperatore, murano glass, Italy, 1970",Malamar Studio,deny,True,2024-07-16T09:06:15.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '2'}}",48162344108297,False,false,3,2,50,0,4,0,0.0
Round Scallop Tray Galaxy,Aesthete Label,deny,True,2024-08-12T08:38:25.000Z,{'custom': {'soldout': 'false'}},48270827847945,False,false,-1,-1,34,0,2,0,0.0
German Candle Holders Pair,Aesthete Label,deny,True,2024-08-12T08:38:15.000Z,{'custom': {'soldout': 'false'}},48270827487497,False,false,-1,-1,20,0,2,0,0.0
Spécial Cocteau Vintage Book,Maison Plage,deny,True,2024-06-21T13:27:02.000Z,{'custom': {'soldout': 'false'}},48037477744905,False,false,-1,-1,23,0,1,0,0.0
"Large Vase by Gunnar Nylund, 1960s",Spigel,deny,True,2024-07-22T07:50:01.000Z,{'custom': {'soldout': 'false'}},48184587583753,False,false,-1,-1,29,0,2,0,0.0
Riesiger Spiral metal Candelabra,Dodo Vintage,deny,True,2024-07-18T08:11:50.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48170971496713,False,false,2,1,18,0,1,0,0.0
"The Greek World: Classical, Byzantine, and Modern",Maison Plage,deny,True,2024-06-24T08:21:15.000Z,{'custom': {'soldout': 'false'}},48048537960713,False,false,-1,-1,17,0,0,0,0.0
Holding - Acrylic on linen,David Hardy,deny,True,2024-09-03T15:59:51.000Z,{'custom': {'soldout': 'false'}},48363008557321,False,false,-1,-1,33,0,2,0,0.0
Vision de Altamar - Mixed media on canvas,Paula Piquet,deny,True,2024-09-11T13:43:46.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48401977639177,False,false,2,1,49,0,1,0,0.0
Green Onyx Lamp C.1970,Maud Vaughan,deny,True,2024-08-01T13:15:45.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48229077877001,False,false,3,1,38,0,8,0,0.0
German Art Deco Cloud Glass Bowl with pointed rim around 1930,Dodo Vintage,deny,True,2024-07-15T08:33:42.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48158072471817,False,false,2,1,20,0,1,0,0.0
small German Art Deco Cloud Glass Bowl around 1930,Dodo Vintage,deny,True,2024-07-15T08:33:41.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48158072439049,False,false,2,1,38,0,1,0,0.0
Set of Four Postmodern Candle Holders,Spigel,deny,True,2024-07-22T07:49:34.000Z,{'custom': {'soldout': 'false'}},48184586961161,False,false,-1,-1,20,0,1,0,0.0
Set of Four Italian Candleholders 80's,Treaptyque,deny,True,2024-05-28T10:20:46.000Z,{'custom': {'soldout': 'false'}},45546758340873,False,false,-1,-1,70,0,10,0,0.0
Perséphone Ashtray,Justine Menard,deny,False,2024-09-03T15:59:53.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48363008688393,False,false,4,2,114,2,8,380,0.017543859649122806
Rustic Solid Karelian Birch Stool | Latvia | 1950s,Veter Vintage,deny,True,2024-06-28T13:34:19.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48071744749833,False,false,3,1,13,0,3,0,0.0
Vintage Danish Candelabra,Maud Vaughan,deny,True,2024-08-14T09:32:26.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48279170711817,False,false,3,1,38,0,4,0,0.0
"Swedish Art Deco Mirror, 1930s",Spigel,deny,True,2024-07-11T11:53:19.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48140670796041,False,false,2,1,101,0,5,0,0.0
German Art Deco Cloud Glass Foot Bowl,Dodo Vintage,deny,True,2024-07-15T08:33:29.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48158072209673,False,false,2,1,6,0,0,0,0.0
Antique Silver Plate and Bakerlite Bread Fork,Maud Vaughan,deny,True,2024-08-09T12:30:05.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48258214723849,False,false,3,1,56,0,5,0,0.0
"Daydreaming - Acrylic, oil pastel, charcoal on canvas",Dovile Bernotaite,deny,True,2024-09-10T08:05:39.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48397197345033,False,false,4,2,34,0,2,0,0.0
"Isolated calm - Acrylic, oil pastel, charcoal on canvas",Dovile Bernotaite,deny,True,2024-09-10T08:05:38.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48397197213961,False,false,4,2,28,0,2,0,0.0
European Large Carved Vase,Aesthete Label,deny,True,2024-08-12T08:38:57.000Z,{'custom': {'soldout': 'false'}},48270828634377,False,false,-1,-1,10,0,0,0,0.0
European Verdigris Large Vase,Aesthete Label,deny,True,2024-08-12T08:38:36.000Z,{'custom': {'soldout': 'false'}},48270828175625,False,false,-1,-1,12,0,0,0,0.0
Dawn Grey - Acrylic on linen,David Hardy,deny,True,2024-09-03T15:59:51.000Z,{'custom': {'soldout': 'false'}},48363008590089,False,false,-1,-1,27,0,0,0,0.0
Marmont Coffee Table Burl Wood,Meola Interiors,deny,True,2024-06-26T15:11:41.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061193224457,False,false,5,2,208,0,6,0,0.0
Cubo Side Table,Edoardo Lietti Studio,continue,True,2024-04-29T09:27:21.000Z,{'custom': {'soldout': 'false'}},45415604748553,False,false,-1,-1,287,0,16,0,0.0
"Mid-Century Ceramic Candlesticks, Sweden, 1950s",Spigel,deny,True,2024-07-15T08:33:24.000Z,{'custom': {'soldout': 'false'}},48158072045833,False,false,-1,-1,8,0,1,0,0.0
Modernist Metal Candle Holders Pair,Break The Mould Magasin,deny,True,2024-07-12T10:00:16.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48145955225865,False,false,2,1,21,0,1,0,0.0
Twisted Tumbler - Set of 4,Silje Lindrup,deny,True,2024-07-25T09:09:46.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48197438865673,False,false,2,1,21,0,5,0,0.0
Twisted Wineglass - Set of 4,Silje Lindrup,deny,True,2024-07-25T09:09:15.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48197437718793,False,false,2,1,25,0,5,0,0.0
Jumeaux Drawer Burl Wood,Meola Interiors,deny,True,2024-06-26T15:10:30.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061188833545,False,false,5,2,54,0,5,0,0.0
Wild Silence,David Hardy,deny,True,2024-08-21T14:11:27.000Z,{'custom': {'soldout': 'false'}},48309281030409,False,false,-1,-1,66,0,2,0,0.0
Set of 3 70's Italian floor vases,Treaptyque,deny,True,2024-06-19T10:45:38.000Z,{'custom': {'soldout': 'false'}},48026549584137,False,false,-1,-1,33,0,2,0,0.0
Antique Silver Plate Serving Fork,Maud Vaughan,deny,True,2024-08-09T12:30:02.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48258214592777,False,false,3,1,26,0,3,0,0.0
"Contours - Acrylic, oil pastel, dry pastel, charcoal on canvas",Dovile Bernotaite,deny,True,2024-09-10T08:05:35.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48397197050121,False,false,4,2,15,0,0,0,0.0
Karl Lagerfeld: A Life in Houses,Maison Plage,deny,True,2024-05-27T09:51:05.000Z,{'custom': {'soldout': 'false'}},45536815939849,False,false,-1,-1,177,0,3,0,0.0
Twisted Tumbler On Foot - Set of 4,Silje Lindrup,deny,True,2024-07-25T09:09:22.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48197438046473,False,false,2,1,27,0,4,0,0.0
Twisted Flute - Set of 4,Silje Lindrup,deny,True,2024-07-25T09:08:56.000Z,{'custom': {'soldout': 'false'}},48197436768521,False,false,-1,-1,10,0,2,0,0.0
As Night Draws In,David Hardy,deny,True,2024-08-21T14:11:26.000Z,{'custom': {'soldout': 'false'}},48309280964873,False,false,-1,-1,52,0,1,0,0.0
"Genre Oil Painting ""Port"" | Leonid Moshenkov | Latvia | 1980s",Veter Vintage,deny,True,2024-06-28T13:34:27.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48071745339657,False,false,3,1,1,0,0,0,0.0
Psychedelic Wall Scone,Caia Leifsdotter,deny,True,2024-07-02T11:22:10.000Z,"{'custom': {'curators_product': 'true', 'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '4'}}",48087788192009,False,false,5,4,480,0,11,0,0.0
Desk Lamp by Carlos M. Serra for Carpyen 70s,Treaptyque,deny,True,2024-06-19T10:45:25.000Z,{'custom': {'soldout': 'false'}},48026547945737,False,false,-1,-1,36,0,1,0,0.0
Antique Silver Plated Bread Fork,Maud Vaughan,deny,True,2024-08-09T12:30:00.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48258214560009,False,false,3,1,22,0,2,0,0.0
1930's Table Lamp,Out For Lunch,deny,True,2024-06-18T08:27:55.000Z,{'custom': {'soldout': 'false'}},48020941897993,False,false,-1,-1,96,0,3,0,0.0
Pair of Brutalist Candleholders,Boga Avante Shop,deny,True,2024-06-17T12:54:42.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48016697000201,False,false,2,1,30,0,3,0,0.0
"Something(s) in the air, 2024",Rebecca von Matérn,deny,True,2024-05-06T08:50:39.000Z,"{'custom': {'curators_product': 'true', 'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45446533021961,False,false,2,1,375,0,8,0,0.0
Diagonal Longue Blanc Cushion,Elle La,deny,False,2024-06-11T10:26:32.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",45652447985929,False,false,3,1,6,1,1,150,0.16666666666666666
Pair of Park Night Stands in Poplar Burl,Lemon,deny,False,2024-06-18T08:27:38.000Z,"{'custom': {'curators_product': 'true', 'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '6'}, 'mindeliverytime': {'mindeltime': '4'}}",48020939014409,False,false,6,4,287,0,8,0,0.0
Ruota Coffee Table Burl Wood,Meola Interiors,deny,True,2024-06-26T15:10:52.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061189849353,False,false,5,2,59,0,3,0,0.0
Guillemets Bedside Cabinet,Meola Interiors,deny,True,2024-06-26T15:10:42.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061189390601,False,false,5,2,16,0,3,0,0.0
Serif Desk Burl Wood,Meola Interiors,deny,True,2024-06-26T15:10:28.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061188604169,False,false,5,2,104,0,3,0,0.0
Arc Stool,Juntos Projects,deny,True,2024-08-23T12:36:35.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48316065775881,False,false,2,1,148,0,1,0,0.0
