title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,ConversionRate
"Large vide-poches blue ""Diamond"" by Flavio Poli 60's",Treaptyque,deny,True,2024-06-14T10:51:31.000Z,{'custom': {'soldout': 'false'}},47996586492169,False,false,-1,-1,1,0,0,0,0.0
Ibiza Memories by Henry Roy,Maison Plage,deny,True,2024-05-27T09:51:09.000Z,{'custom': {'soldout': 'false'}},45536816267529,False,false,-1,-1,15,0,0,0,0.0
USO Floor Lamp,Lana Launay,continue,True,2024-07-25T09:10:10.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '6'}}",48197441847561,False,false,10,6,364,0,1,0,0.0
USO Floor Lamp,Lana Launay,continue,True,2024-07-25T09:10:10.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '6'}}",48197441814793,False,false,10,6,364,0,1,0,0.0
USO Floor Lamp,Lana Launay,continue,True,2024-07-25T09:10:10.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '6'}}",48197441782025,False,false,10,6,364,0,1,0,0.0
Liqueur Glass - Set of 4,Silje Lindrup,deny,True,2024-07-25T09:08:54.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48197436539145,False,false,2,1,20,0,1,0,0.0
Luna Console Table,Meola Interiors,deny,True,2024-06-26T15:10:50.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061189751049,False,false,5,2,41,0,1,0,0.0
Dymo Bedside Burl Wood Tables Pair,Meola Interiors,deny,True,2024-06-26T15:10:33.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061188931849,False,false,5,2,19,0,1,0,0.0
Jumeaux Grand Drawer Burl Wood,Meola Interiors,deny,True,2024-06-26T15:10:30.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061188768009,False,false,5,2,22,0,1,0,0.0
Ramona Bookcase Burl Wood,Meola Interiors,deny,True,2024-06-26T15:10:21.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061188243721,False,false,5,2,44,0,1,0,0.0
Smokey Grey Champagne Glasses by Luminarc,Break The Mould Magasin,deny,True,2024-06-11T12:32:21.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45653106557193,False,false,2,1,34,0,4,0,0.0
Smokey Grey Champagne Glasses by Luminarc,Break The Mould Magasin,deny,True,2024-06-11T12:32:21.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45653106524425,False,false,2,1,34,0,4,0,0.0
Large Vintage Onyx Lamp,Maud Vaughan,deny,True,2024-08-01T13:15:35.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '1'}}",48229077352713,False,false,3,1,21,0,1,0,0.0
Marble Vase,Out For Lunch,deny,True,2024-06-18T08:27:42.000Z,{'custom': {'soldout': 'false'}},48020939178249,False,false,-1,-1,21,0,0,0,0.0
"""Feels Like Home"" Floor Lamp",Lana Launay,continue,True,2024-07-25T09:11:24.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '6'}}",48197444567305,False,false,10,6,3,0,0,0,0.0
"""Feels Like Home"" Floor Lamp",Lana Launay,continue,True,2024-07-25T09:11:24.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '6'}}",48197444534537,False,false,10,6,3,0,0,0,0.0
"""Feels Like Home"" Floor Lamp",Lana Launay,continue,True,2024-07-25T09:11:24.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '6'}}",48197444501769,False,false,10,6,3,0,0,0,0.0
Riviera Plinth Tall in Oiled African Mahogany,Lemon,deny,False,2024-06-18T08:27:48.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '8'}, 'mindeliverytime': {'mindeltime': '6'}}",48020940914953,False,false,8,6,51,0,5,0,0.0
Palma Stool Burl Wood,Meola Interiors,deny,True,2024-06-26T15:11:19.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061191487753,False,false,5,2,18,0,0,0,0.0
Minerva Plinth Burl Wood,Meola Interiors,deny,True,2024-06-26T15:11:17.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061191291145,False,false,5,2,8,0,0,0,0.0
Orbis Glass Round Table Burl Wood,Meola Interiors,deny,True,2024-06-26T15:11:07.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061190570249,False,false,5,2,26,0,0,0,0.0
Papilio Console Burl Wood,Meola Interiors,deny,True,2024-06-26T15:11:05.000Z,"{'custom': {'soldout': 'false'}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061190439177,False,false,5,2,38,0,0,0,0.0
"""Trefoil"" shaped vide-poches 80's",Treaptyque,deny,True,2024-06-03T10:58:27.000Z,{'custom': {'soldout': 'false'}},45599760122121,False,false,-1,-1,0,0,1,0,0.0
